page|date|endDate|audience|title|description
3|2026-07-03||estudiantes|Cierre de cambio de nombre legal I semestre|Término para solicitud de cambio de nombre legal del I semestre 2026.
3|2026-07-10||estudiantes|Oferta definitiva de carreras Admisión 2027|Oferta definitiva de carreras, vacantes y ponderaciones para Admisión 2027.
3|2026-07-11||estudiantes|Cierre de suspensión de gratuidad y beneficios I semestre|Cierre del proceso de suspensiones de gratuidad y beneficios: becas y créditos del Estado del I semestre 2026.
3|2026-07-13||estudiantes|Inicio de cambio de carrera II semestre|Inicio de solicitudes de cambio de carrera para el II semestre 2026.
3|2026-07-14||unidades|Resolución de solicitudes de cambio de carrera|Inicio para que las unidades académicas resuelvan solicitudes en el Sistema de Trámites Curriculares.
3|2026-07-17||general|Feriado sindical|Feriado sindical indicado en el calendario docente.
3|2026-07-20||unidades|Convalidaciones Minor|Inicio del periodo para que jefaturas de carrera soliciten convalidaciones de asignaturas Minor a DGPRE y SPRE.
3|2026-07-25||estudiantes|Cierre de evaluación docente I semestre|Término de aplicación de la Encuesta de Evaluación Docente.
3|2026-07-27||estudiantes|Cierre de Ingresos Especiales II semestre|Término de postulación a carreras de la Universidad según vacantes definidas para el II semestre 2026.
3|2026-07-31||unidades|Ajustes mayores y rediseños curriculares|Plazo para enviar a DGPRE ajustes mayores o rediseños curriculares para implementación en el I semestre 2027.
4|2026-08-01||estudiantes|Último día de clases I semestre|Último día de clases, talleres y laboratorios; término del periodo de evaluaciones pendientes del I semestre 2026.
4|2026-08-02||unidades|Registro de calificaciones parciales I semestre|Último plazo para registrar calificaciones parciales en Banner.
4|2026-08-03||estudiantes|Inicio de vacaciones de invierno|Para estudiantes que no rinden exámenes recuperativos o por solicitud.
4|2026-08-03||estudiantes|Inicio de inscripción a cursos de idiomas|Cursos virtuales y presenciales de la DRI.
4|2026-08-03|2026-08-07|estudiantes|Exámenes por solicitud y recuperación|Periodo para rendir examen por solicitud (art. 39) y examen de recuperación (art. 33).
4|2026-08-03|2026-08-31|estudiantes|Solicitudes de intercambio estudiantil|Solicitudes de intercambio saliente para el I semestre 2027 a la DRI.
4|2026-08-03|2026-08-31|unidades|Postulación de nuevos programas Minor|Departamentos y escuelas envían a DGPRE propuestas para ofertar en el I semestre 2027.
4|2026-08-04||estudiantes|Cierre de solicitudes de cambio de carrera|El documento identifica este cierre como correspondiente al I semestre 2026; se conserva esa indicación sin equipararlo al inicio del II semestre del 13 de julio.
4|2026-08-04||general|Claustro Pleno UCN Antofagasta|Claustro Pleno UCN Antofagasta.
4|2026-08-08||estudiantes|Cierre de actividades docentes I semestre|Último día de actividades docentes y registro de calificaciones finales en Banner, hasta las 13:00.
4|2026-08-09|2026-08-16|unidades|Cierre y consolidación curricular I semestre|Periodo de cierre y consolidación de información curricular en Banner del I semestre 2026.
4|2026-08-11|2026-08-13|estudiantes|Inscripción de estudiantes internacionales|Inscripción de asignaturas a estudiantes internacionales en intercambio presencial o virtual en UCN.
4|2026-08-12||unidades|Cierre de resolución de cambios de carrera|Término para resolver solicitudes de cambio de carrera en el Sistema de Trámites Curriculares.
4|2026-08-13||general|Jornada de Reflexión Docente|Jornada de Reflexión Docente Antofagasta.
4|2026-08-15||estudiantes|Inicio de renuncias a la Universidad|Solicitudes de renuncia a la Universidad para el II semestre 2026.
4|2026-08-15||estudiantes|Inicio de cambio de nombre legal II semestre|Inicio de solicitudes de cambio de nombre legal del II semestre 2026.
4|2026-08-15|2026-08-19|estudiantes|Reintegros de estudiantes eliminados|Solicitudes de reintegro para el II semestre 2026 de estudiantes eliminados.
4|2026-08-15|2026-08-19|estudiantes|Retiro temporal II semestre|Periodo de solicitud de retiro temporal del II semestre 2026.
4|2026-08-15|2026-08-31|estudiantes|Reconocimiento de actividades extracurriculares|Solicitudes a DGPRE para el II semestre 2026.
4|2026-08-15|2026-08-31|estudiantes|Matrícula en situaciones especiales|Estudiantes con retiro temporal del I semestre, reintegrados sin matrícula del I semestre, ingresos especiales del II semestre y egresados eliminados.
4|2026-08-15|2026-08-22|estudiantes|Convalidación de asignaturas II semestre|Periodo de solicitud de convalidación de asignaturas para el II semestre 2026.
4|2026-08-15|2026-08-22|estudiantes|Reintegro de egresados con titulación pendiente|Solicitudes de reintegro de egresados eliminados para el año académico 2026, con actividad de titulación pendiente.
4|2026-08-17|2026-08-26|unidades|Resolución de convalidaciones|Unidades académicas resuelven solicitudes de convalidación en el Sistema de Trámites Curriculares.
4|2026-08-17||unidades|Reporte de estudiantes eliminados y en alerta|Habilitación del reporte de estudiantes eliminados del I semestre y en alerta académica para el II semestre 2026.
4|2026-08-17||estudiantes|Inscripción de asignaturas|Jornada de la mañana: estudiantes matriculados MAPAU y residentes en la comuna de Mejillones. Jornada de la tarde: inicio por facultad o unidad para estudiantes matriculados.
4|2026-08-17|2026-08-24|unidades|Resolución de reintegros|Unidades académicas resuelven solicitudes de reintegro de estudiantes eliminados en el Sistema de Trámites Curriculares.
4|2026-08-18||estudiantes|Inscripción de Formación General Electiva|Inicio de inscripción de asignaturas FGE durante la jornada de la tarde.
4|2026-08-19|2026-08-31|estudiantes|Levantamiento de prerrequisitos|Solicitudes de estudiantes a jefaturas de carrera.
4|2026-08-20|2026-08-31|estudiantes|Asignaturas por examen o tutoría|Periodo de solicitud para rendir asignatura por examen (art. 39) y tutoría (art. 37) para el II semestre 2026.
4|2026-08-20||estudiantes|Inicio de clases II semestre|Inicio de clases del II semestre 2026 en Antofagasta.
4|2026-08-20||estudiantes|Inicio de rectificación de calificaciones|Rectificación de calificaciones de asignaturas del I semestre 2026.
4|2026-08-20||estudiantes|Inicio de solicitudes de anulación|Inicio de solicitud de anulación de periodo académico.
4|2026-08-21||estudiantes|Inscripción por Jefatura de carrera|Inicio de inscripción de asignaturas por parte de las jefaturas de carrera.
4|2026-08-25||estudiantes|Comisión de Casos Especiales|Reunión de la Comisión de Casos Especiales de estudiantes eliminados de Antofagasta.
4|2026-08-25||unidades|Reporte de estudiantes sin inscripción|Habilitación del reporte de estudiantes sin inscripción de asignaturas.
4|2026-08-27||unidades|Cierre de convalidaciones Minor|Plazo para que jefaturas soliciten convalidaciones Minor a DGPRE y Secretaría de Pregrado y Estudiantil de Sede.
5|2026-09-01||unidades|Registro de fechas de evaluaciones|Plazo para incorporar al sistema institucional las fechas de evaluaciones de componentes o subcomponentes definidos en el acta de calificaciones.
5|2026-09-01|2026-09-11|unidades|Propuestas de nuevas asignaturas electivas|Departamentos y escuelas envían nuevas asignaturas de Formación General y Profesional Electiva para el I semestre 2027.
5|2026-09-01|2026-09-29|unidades|Oferta académica 2027: generación|Etapa 1: generación de la oferta académica del I semestre 2027 por parte de las unidades.
5|2026-09-04||estudiantes|Cierre de inscripción de asignaturas|Término de inscripción de asignaturas por parte de estudiantes.
5|2026-09-05||estudiantes|Cierre de rectificación de calificaciones|Término para rectificar calificaciones de asignaturas del I semestre 2026.
5|2026-09-11||estudiantes|Cierre de inscripción a cursos de idiomas|Término de inscripción a cursos de idiomas virtuales y presenciales de la DRI.
5|2026-09-12||estudiantes|Cierre de inscripción por Jefatura|Término de inscripción de asignaturas por parte de las jefaturas de carrera.
5|2026-09-14|2026-09-20|estudiantes|Receso Fiestas Patrias|Receso de Fiestas Patrias del 14 al 20 de septiembre, ambas fechas incluidas.
5|2026-09-30||unidades|Oferta académica 2027: ingreso en Banner|Etapa 2: ingreso de oferta académica al sistema Banner o actualización del histórico por unidades (rolado).
5|2026-09-30||unidades|Cambios menores que modifican Banner|Plazo para enviar cambios de créditos, prerrequisitos, niveles o nombres de asignaturas para el I semestre 2027.
5|2026-10-01||estudiantes|Inicio de Ingresos Especiales 2027|Postulación a carreras de la Universidad según vacantes definidas para el I semestre 2027.
5|2026-10-01|2026-10-30|unidades|Oferta académica 2027: actualización|Etapa 3: actualización de oferta académica del I semestre 2027.
5|2026-10-02||unidades|Reporte de proyecciones de oferta académica|Habilitación del reporte de proyecciones de oferta académica del I semestre 2027.
5|2026-10-09||estudiantes|Cierre de solicitudes de anulación|Término para solicitar anulación de periodo académico.
5|2026-10-09||unidades|Cambios menores sin modificación de Banner|Plazo para enviar cambios de contenidos, metodologías didácticas, sistemas de evaluación o bibliografía para el I semestre 2027.
5|2026-10-13|2026-10-30|estudiantes|Renuncia de asignaturas II semestre|Periodo de renuncia de asignaturas del II semestre 2026 por parte de estudiantes.
5|2026-10-19|2026-10-24|estudiantes|Semana de autocuidado|Semana de Autocuidado para estudiantes del 19 al 24 de octubre.
5|2026-10-23||estudiantes|Suspensión de gratuidad y beneficios II semestre|Plazo para suspensiones de gratuidad y beneficios: becas y créditos del Estado del II semestre 2026.
5|2026-10-27|2026-10-30|unidades|Solicitudes de parte-periodos distintos|Unidades académicas envían a DGPRE solicitudes de parte-periodos distintos para el I semestre 2027.
5|2026-10-30||estudiantes|Cierre de reintegro para trámite de título o grado|Término de solicitudes de reintegro de egresados eliminados solo para trámite de título o grado.
5|2026-10-30||unidades|Asignaturas de movilidad virtual 2027|Plazo para que departamentos y escuelas envíen a DGPRE postulaciones para asignaturas de movilidad virtual del I semestre 2027.
5|2026-11-02||estudiantes|Evaluaciones pendientes II semestre|Inicio del periodo de evaluaciones pendientes del II semestre 2026.
5|2026-11-02||estudiantes|Inicio de solicitudes de traslado a UCN|Solicitudes de traslado de universidad a UCN para el I semestre 2027.
5|2026-11-02||estudiantes|Inicio de postulación a Minor|Postulación por parte de estudiantes para el I semestre 2027.
5|2026-11-06||estudiantes|Cierre de cambio de nombre legal II semestre|Término de solicitudes de cambio de nombre legal del II semestre 2026.
5|2026-11-06||estudiantes|Arancel de obtención de títulos y grados|Plazo para pago mediante tramit curricular para la Ceremonia de Titulación 2026. Fecha sujeta a modificaciones según el documento.
5|2026-11-13||estudiantes|Cierre de renuncias a la Universidad|Término de solicitudes de renuncia a la Universidad para el II semestre 2026.
5|2026-11-15||unidades|Postulación de colaboración en modalidad virtual|Inicio de postulaciones que docentes envían a DRI para el I semestre 2027.
5|2026-11-16||estudiantes|Inicio de evaluación docente|Inicio de aplicación de la Encuesta de Evaluación Docente.
6|2026-12-01|2026-12-19|estudiantes|Oferta de Cursos de Verano 2027|Periodo de oferta académica de Cursos de Verano 2027.
6|2026-12-07||estudiantes|Inicio de cambio de carrera 2027|Inicio de solicitudes de cambio de carrera para el I semestre 2027.
6|2026-12-10||estudiantes|Postulación y selección de especialidad|Plazo de postulación y selección de especialidad 2027 para Ingeniería Civil Plan Común.
6|2026-12-11||estudiantes|Cierre de Ingresos Especiales 2027|Término de postulación a carreras de la Universidad según vacantes del I semestre 2027.
6|2026-12-12||estudiantes|Cierre de evaluación docente|Término de aplicación de la Encuesta de Evaluación Docente.
6|2026-12-14||estudiantes|Postulación y matrícula de Cursos de Verano|Inicio de postulación y matrícula de Cursos de Verano 2027 mediante tramitcurricular.ucn.cl.
6|2026-12-19||estudiantes|Último día de clases II semestre|Último día de clases, talleres y laboratorios; término de evaluaciones pendientes del II semestre 2026.
6|2026-12-19||estudiantes|Cierre de postulación a Minor|Término de postulación por parte de estudiantes para el I semestre 2027.
6|2026-12-19||unidades|Registro de calificaciones parciales II semestre|Último día para registrar calificaciones parciales en Banner.
6|2026-12-21||estudiantes|Inicio de vacaciones de verano|Para estudiantes que no rinden exámenes por solicitud o recuperativos.
6|2026-12-21|2026-12-29|estudiantes|Exámenes por solicitud y recuperativos|Periodo para rendir examen por solicitud (art. 39) y exámenes recuperativos (art. 33).
6|2026-12-30||estudiantes|Cierre académico II semestre|Último día de actividades docentes y registro de calificaciones finales en Banner, hasta las 13:00.
6|2026-12-30||unidades|Inicio de cierre y consolidación curricular|Inicio del cierre y consolidación de información curricular del II semestre 2026 desde las 13:00.
6|2026-12-30||estudiantes|Cierre de cambio de nombre social|Término de solicitud de cambio de nombre social, según la denominación del documento.
6|2026-12-30||unidades|Cierre de colaboración en modalidad virtual|Término de postulaciones de actividades de colaboración que docentes envían a DRI para el I semestre 2027.
6|2027-01-03||estudiantes|Cierre de matrícula Cursos de Verano|Término de postulación y matrícula de Cursos de Verano 2027 mediante tramitcurricular.ucn.cl.
6|2027-01-05||unidades|Cierre y consolidación curricular II semestre|Término del cierre y consolidación de información curricular del II semestre 2026.
6|2027-01-06||estudiantes|Inicio de renuncias a la Universidad 2027|Inicio de solicitudes de renuncia a la Universidad para el I semestre 2027.
6|2027-01-06||estudiantes|Reintegro para trámite de título o grado 2027|Inicio de solicitudes de reintegro de egresados eliminados solo para trámite de título o grado 2027.
6|2027-01-06||estudiantes|Reintegro de egresados con titulación pendiente 2027|Inicio de solicitudes de reintegro de egresados eliminados para el año académico 2027, con actividad de titulación pendiente.
6|2027-01-06||estudiantes|Inicio de retiro temporal 2027|Inicio de solicitudes de retiro temporal para el I semestre 2027.
6|2027-01-06|2027-01-15|estudiantes|Rectificación de calificaciones de titulación|Plazo para rectificar calificaciones de actividades de titulación: defensas de tesis, exámenes u otras actividades de término del II semestre 2026.
6|2027-01-06|2027-01-15|estudiantes|Reintegros de estudiantes eliminados 2027|Periodo de solicitud de reintegros para el I semestre 2027 de estudiantes eliminados.
6|2027-01-06|2027-01-29|estudiantes|Rectificación de calificaciones II semestre|Periodo para rectificar calificaciones de asignaturas del II semestre 2026.
6|2027-01-06|2027-01-29|unidades|Convalidaciones Minor 2027|Periodo para que jefaturas de carrera soliciten convalidaciones de asignaturas Minor a DGPRE y SPRE.
6|2027-01-07|2027-01-28|estudiantes|Cursos de Verano 2027|Periodo de clases de Cursos de Verano 2027.
6|2027-01-08||unidades|Selección de estudiantes Minor|Último plazo para que unidades académicas envíen la lista de selección de estudiantes Minor del I semestre 2027.
6|2027-01-10||estudiantes|Cierre de cambio de carrera 2027|Término de solicitudes de cambio de carrera para el I semestre 2027.
6|2027-01-11||estudiantes|Cierre de solicitudes de traslado a UCN|Término de solicitudes de traslado de universidad a UCN.
